MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RM,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_Stucco,Exterior 1st_Wd Sdng,Exterior 2nd_AsphShn,Exterior 2nd_BrkFace,Exterior 2nd_HdBoard,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_Stone,Alley_Pave,Land Contour_HLS,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR3,Lot Config_Inside,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_GrnHill,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Heating_Grav,Heating_OthW,Heating_Wall,Central Air_Y,Garage Type_2Types,Garage Type_Basment,Garage Type_BuiltIn,Misc Feature_Elev,Misc Feature_Othr,Misc Feature_TenC,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_New,Sale Type_Oth,MS SubClass,Lot Frontage,Lot Area,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin SF 2,Total Bsmt SF,Heating QC,Electrical,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Area,Wood Deck SF,Open Porch SF,Screen Porch,Pool Area,SalePrice,Age,Mod_Age
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0.0,13517,3,4,3,6,8,289.0,4,3.0,3.0,0.0,6.0,533.0,0.0,725.0,5,5,0,1479,0.0,2,1,3,1,4,6,8,0,0.0,1976.0,2.0,475.0,0,44,0,0,130500,34,5
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,43.0,11492,3,4,3,7,5,132.0,4,4.0,3.0,0.0,6.0,637.0,0.0,913.0,5,5,0,2122,1.0,2,1,4,1,4,8,8,1,3.0,1997.0,2.0,559.0,0,74,0,0,220000,13,12
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,68.0,7922,4,4,3,5,7,0.0,3,3.0,3.0,0.0,6.0,731.0,0.0,1057.0,3,5,0,1057,1.0,1,0,3,1,4,5,8,0,0.0,1953.0,1.0,246.0,0,52,0,0,109000,57,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,60,73.0,9802,4,4,3,5,5,0.0,3,4.0,3.0,0.0,1.0,0.0,0.0,384.0,4,5,0,1444,0.0,2,1,3,1,3,7,8,0,0.0,2007.0,3.0,400.0,100,0,0,0,174000,4,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,82.0,14235,3,4,3,6,8,0.0,3,2.0,4.0,0.0,1.0,0.0,0.0,676.0,3,5,0,1445,0.0,2,0,3,1,3,6,8,0,0.0,1957.0,1.0,484.0,0,59,0,0,138500,110,17
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,137.0,16492,3,4,3,6,6,0.0,4,3.0,3.0,0.0,5.0,247.0,713.0,1517.0,5,5,0,1888,0.0,2,1,2,1,4,6,5,1,4.0,1966.0,3.0,578.0,0,0,0,0,190000,44,8
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,180,35.0,3675,4,4,3,6,5,82.0,3,4.0,3.0,4.0,6.0,547.0,0.0,547.0,4,5,0,1072,1.0,2,0,2,1,3,5,8,0,0.0,2005.0,3.0,525.0,0,44,0,0,140000,1,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0.0,12160,3,4,3,5,5,180.0,3,3.0,3.0,0.0,3.0,1000.0,0.0,1188.0,2,5,0,1188,1.0,1,0,3,1,3,6,8,0,0.0,1959.0,2.0,531.0,0,0,0,0,142000,51,51
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0.0,15783,4,4,3,5,5,0.0,3,3.0,3.0,0.0,3.0,292.0,0.0,924.0,3,5,0,924,0.0,1,0,2,1,3,6,8,0,0.0,1952.0,1.0,420.0,0,324,0,0,112500,55,55
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,70.0,11606,3,4,2,5,5,192.0,3,4.0,3.0,0.0,3.0,650.0,0.0,1040.0,3,5,0,2080,0.0,1,2,5,1,2,9,8,2,3.0,1969.0,1.0,504.0,335,0,0,0,135000,38,38
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,160,21.0,1680,4,4,3,6,5,232.0,3,3.0,3.0,0.0,5.0,387.0,0.0,483.0,3,5,0,987,0.0,1,1,2,1,3,4,8,0,0.0,1971.0,1.0,264.0,0,0,0,0,85400,37,37
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,64.0,7488,3,4,3,7,5,0.0,4,4.0,3.0,0.0,6.0,393.0,0.0,1208.0,5,5,0,1208,0.0,2,0,2,1,4,6,8,0,0.0,2005.0,2.0,632.0,105,58,0,0,183600,1,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,120.0,26400,4,4,3,5,7,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,2016,0.0,1,0,4,1,3,7,5,1,3.0,1900.0,1.0,576.0,0,0,0,0,131000,129,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,160,24.0,2645,4,4,3,8,5,456.0,4,4.0,3.0,0.0,6.0,813.0,0.0,960.0,5,5,0,1607,1.0,2,1,3,1,4,7,8,0,0.0,2000.0,1.0,480.0,169,0,0,0,200000,9,8
