,Address,Baths,Beds,Garage,Home Size,Locality,Lot Size,Price,Property Type
0,"3511 Oakland St, Ames, IA 50014 3511 Oakland St Ames IA 50014",3.5bath,3bed,No Value,"1,623sqft",No Value,0.28acres lot,"$279,900",House for Sale
1,"302 Village Dr, Ames, IA 50014 302 Village Dr Ames IA 50014",2bath,4bed,No Value,876sqft,No Value,"6,410sqft lot","$174,800",House for Sale
2,"105 9th St, Ames, IA 50010 105 9th St Ames IA 50010",1.5bath,4bed,No Value,"2,040sqft",No Value,"6,534sqft lot","$206,000",House for Sale
3,"209 Howard Ave, Ames, IA 50014 209 Howard Ave Ames IA 50014",2bath,4bed,No Value,"1,342sqft",No Value,No Value,"$169,900",House for Sale
4,"1261 McKinley Dr, Ames, IA 50010 1261 McKinley Dr Ames IA 50010",2.5bath,3bed,No Value,"1,310sqft",No Value,0.41acres lot,"$192,000",House for Sale
5,"1008 Mesa Verde Pl, Ames, IA 50014 1008 Mesa Verde Pl Ames IA 50014",2bath,4bed,No Value,860sqft,No Value,No Value,"$166,000",House for Sale
6,"3827 Brookdale Ave, Ames, IA 50010 3827 Brookdale Ave Ames IA 50010",3bath,3bed,No Value,"1,051sqft",No Value,No Value,"$239,900",House for Sale
7,"1128 28th St, Ames, IA 50010 1128 28th St Ames IA 50010",2bath,3bed,No Value,913sqft,No Value,"12,263.6acres lot","$200,000",House for Sale
8,"1807 Wilson Ave, Ames, IA 50010 1807 Wilson Ave Ames IA 50010",2bath,3bed,No Value,"1,382sqft",No Value,0.26acres lot,"$198,500",House for Sale
9,"3328 Harcourt Dr, Ames, IA 50010 3328 Harcourt Dr Ames IA 50010",3bath,3bed,No Value,"1,632sqft",No Value,"7,405sqft lot","$215,000",House for Sale
10,"2719 Cambridge Dr, Ames, IA 50010 2719 Cambridge Dr Ames IA 50010",3.5bath,4bed,No Value,"1,959sqft",No Value,"9,000sqft lot","$327,500",House for Sale
11,"2317 Camden Dr, Ames, IA 50010 2317 Camden Dr Ames IA 50010",3bath,3bed,No Value,"1,358sqft",No Value,"7,405sqft lot","$279,900",House for Sale
12,"1335 Wilson Ave, Ames, IA 50010 1335 Wilson Ave Ames IA 50010",2bath,3bed,No Value,"1,030sqft",No Value,No Value,"$205,000",House for Sale
13,"1216 Scott Ave, Ames, IA 50014 1216 Scott Ave Ames IA 50014",2.5bath,4bed,No Value,"1,787sqft",No Value,No Value,"$236,000",House for Sale
14,"4788 Copperstone Dr, Ames, IA 50010 4788 Copperstone Dr Ames IA 50010",3.5+bath,5bed,No Value,"3,094sqft",No Value,2.07acres lot,"$795,000",House for Sale
15,"1321 Glendale Ave, Ames, IA 50010 1321 Glendale Ave Ames IA 50010",2.5bath,3bed,No Value,"1,116sqft",No Value,No Value,"$219,900",House for Sale
16,"2211 Duff Ave, Ames, IA 50010 2211 Duff Ave Ames IA 50010",2.5bath,5bed,No Value,"1,309sqft",No Value,0.24acres lot,"$239,900",House for Sale
17,"418 12th St, Ames, IA 50010 418 12th St Ames IA 50010",2.5bath,3bed,No Value,"1,360sqft",No Value,"4,792sqft lot","$175,000",House for Sale
18,"5218 Windrose Ln, Ames, IA 50014 5218 Windrose Ln Ames IA 50014",3bath,4bed,No Value,"1,950sqft",No Value,1acres lot,"$537,500",House for Sale
19,"3804 Toronto St, Ames, IA 50014 3804 Toronto St Ames IA 50014",2.5bath,4bed,No Value,"1,040sqft",No Value,"6,897sqft lot","$197,500",House for Sale
20,"3008 Eisenhower Cir, Ames, IA 50010 3008 Eisenhower Cir Ames IA 50010",2.5+bath,4bed,No Value,"2,840sqft",No Value,0.29acres lot,"$350,000",House for Sale
21,"4503 Twain Cir Unit 101, Ames, IA 50014 4503 Twain Cir Unit 101 Ames IA 50014",1bath,1bed,No Value,747sqft,No Value,"1,307sqft lot","$116,500",
22,"2837 Greensboro Cir, Ames, IA 50010 2837 Greensboro Cir Ames IA 50010",3.5bath,3bed,No Value,"1,360sqft",No Value,No Value,"$275,000",House for Sale
23,"1304 Garfield Ave, Ames, IA 50014 1304 Garfield Ave Ames IA 50014",2.5bath,5bed,No Value,"1,120sqft",No Value,"6,970sqft lot","$205,000",House for Sale
24,"2916 Roxboro Dr, Ames, IA 50010 2916 Roxboro Dr Ames IA 50010",3bath,3bed,No Value,"1,368sqft",No Value,No Value,"$298,700",
25,"1040 Ridgewood Ave, Ames, IA 50010 1040 Ridgewood Ave Ames IA 50010",2bath,3bed,No Value,"1,903sqft",No Value,No Value,"$260,000",House for Sale
26,"1231 24th St, Ames, IA 50010 1231 24th St Ames IA 50010",2bath,3bed,No Value,892sqft,No Value,"8,276sqft lot","$172,000",House for Sale
27,"4100 Hastings Ave, Ames, IA 50010 4100 Hastings Ave Ames IA 50010",3bath,5bed,No Value,"1,706sqft",No Value,No Value,"$429,900",House for Sale
28,"304 Beedle Dr, Ames, IA 50014 304 Beedle Dr Ames IA 50014",3.5bath,4bed,No Value,"1,767sqft",No Value,0.24acres lot,"$309,900",House for Sale
29,"1505 Little Bluestem Ct Unit 117, Ames, IA 50014 1505 Little Bluestem Ct Unit 117 Ames IA 50014",1bath,3bed,No Value,"1,032sqft",No Value,No Value,"$159,000",
30,"1134 Oklahoma Dr, Ames, IA 50014 1134 Oklahoma Dr Ames IA 50014",3bath,3bed,No Value,"2,256sqft",No Value,0.39acres lot,"$337,500",House for Sale
31,"1517 Little Bluestem Ct Unit 3, Ames, IA 50014 1517 Little Bluestem Ct Unit 3 Ames IA 50014",3bath,4bed,No Value,"1,068sqft",No Value,No Value,"$178,500",
32,"301 Westbrook Ln, Ames, IA 50014 301 Westbrook Ln Ames IA 50014",2.5bath,3bed,No Value,"1,135sqft",No Value,No Value,"$209,000",
33,"4225 Aldrin Ave, Ames, IA 50014 4225 Aldrin Ave Ames IA 50014",3bath,5bed,No Value,"1,594sqft",No Value,"9,170sqft lot","$424,900",House for Sale
34,"3819 Viola Mae Ave, Ames, IA 50010 3819 Viola Mae Ave Ames IA 50010",1.5bath,4bed,No Value,816sqft,No Value,"6,600sqft lot","$184,000",House for Sale
35,"3503 Ross Rd, Ames, IA 50014 3503 Ross Rd Ames IA 50014",2bath,3bed,No Value,"1,153sqft",No Value,No Value,"$184,900",House for Sale
36,"3329 Harcourt Dr, Ames, IA 50010 3329 Harcourt Dr Ames IA 50010",2bath,3bed,No Value,874sqft,No Value,0.23acres lot,"$172,000",House for Sale
37,"713 Crawford Ave, Ames, IA 50010 713 Crawford Ave Ames IA 50010",1.5bath,3bed,No Value,"1,378sqft",No Value,"7,841sqft lot","$178,500",House for Sale
38,"3133 Burnham Dr, Ames, IA 50010 3133 Burnham Dr Ames IA 50010",3bath,3bed,No Value,"1,925sqft",No Value,"9,583sqft lot","$435,000",
39,"119 Hickory Dr, Ames, IA 50014 119 Hickory Dr Ames IA 50014",2.5bath,3bed,No Value,"2,114sqft",No Value,0.64acres lot,"$289,000",House for Sale
40,"2105 Country Club Blvd, Ames, IA 50014 2105 Country Club Blvd Ames IA 50014",2bath,3bed,No Value,"2,502sqft",No Value,No Value,"$430,000",House for Sale
41,"3032 Aspen Rd, Ames, IA 50014 3032 Aspen Rd Ames IA 50014",3.5bath,4bed,No Value,"1,944sqft",No Value,"8,276sqft lot","$312,000",House for Sale
42,"3330 Southdale Dr, Ames, IA 50010 3330 Southdale Dr Ames IA 50010",1.5bath,3bed,No Value,"1,304sqft",No Value,"4,356sqft lot","$138,500",
43,"3023 Valley View Rd, Ames, IA 50014 3023 Valley View Rd Ames IA 50014",3.5bath,3bed,No Value,"2,074sqft",No Value,0.26acres lot,"$339,900",House for Sale
44,"1310 Kentucky Ave, Ames, IA 50014 1310 Kentucky Ave Ames IA 50014",2.5bath,3bed,No Value,"2,270sqft",No Value,0.25acres lot,"$279,730",House for Sale
45,"5521 Hickory Hills Dr, Ames, IA 50014 5521 Hickory Hills Dr Ames IA 50014",3.5bath,5bed,No Value,"3,208sqft",No Value,No Value,"$524,900",House for Sale
46,"1307 Douglas Ave, Ames, IA 50010 1307 Douglas Ave Ames IA 50010",1.5bath,4bed,No Value,"1,168sqft",No Value,"7,200sqft lot","$174,900",House for Sale
47,"700 South Dakota Ave Unit 204, Ames, IA 50014 700 South Dakota Ave Unit 204 Ames IA 50014",2bath,2bed,No Value,"1,073sqft",No Value,0.36acres lot,"$139,500",
48,"622 11th St, Ames, IA 50010 622 11th St Ames IA 50010",1.5bath,3bed,No Value,"1,558sqft",No Value,No Value,"$219,900",House for Sale
49,"1416 Big Bluestem Ct Unit 101, Ames, IA 50014 1416 Big Bluestem Ct Unit 101 Ames IA 50014",1.5bath,2bed,No Value,"1,096sqft",No Value,"4,850sqft lot","$141,900",
50,"4228 Eisenhower Ct, Ames, IA 50010 4228 Eisenhower Ct Ames IA 50010",3bath,3bed,No Value,"1,305sqft",No Value,No Value,"$254,900",
51,"5613 Allerton Dr, Ames, IA 50014 5613 Allerton Dr Ames IA 50014",2.5bath,3bed,No Value,"1,799sqft",No Value,"8,712sqft lot","$305,000",House for Sale
52,"3018 Red Fox Rd, Ames, IA 50014 3018 Red Fox Rd Ames IA 50014",3.5bath,5bed,No Value,"2,550sqft",No Value,"9,148sqft lot","$405,000",House for Sale
53,"2916 Bayberry Rd, Ames, IA 50014 2916 Bayberry Rd Ames IA 50014",2.5bath,4bed,No Value,"2,560sqft",No Value,0.26acres lot,"$369,000",House for Sale
54,"1039 Vermont Ct, Ames, IA 50014 1039 Vermont Ct Ames IA 50014",3bath,4bed,No Value,"1,432sqft",No Value,0.26acres lot,"$269,900",House for Sale
55,"2122 McCarthy Rd, Ames, IA 50014 2122 McCarthy Rd Ames IA 50014",1bath,2bed,No Value,"1,503sqft",No Value,No Value,"$195,000",House for Sale
56,"1803 Clark Ave, Ames, IA 50010 1803 Clark Ave Ames IA 50010",3.5bath,4bed,No Value,"1,935sqft",No Value,0.31acres lot,"$254,900",House for Sale
57,"912 Wilson Ave, Ames, IA 50010 912 Wilson Ave Ames IA 50010",1.5bath,5bed,No Value,"1,981sqft",No Value,No Value,"$174,900",House for Sale
58,"2203 Jensen Ave, Ames, IA 50010 2203 Jensen Ave Ames IA 50010",2bath,4bed,No Value,"1,144sqft",No Value,No Value,"$209,900",House for Sale
59,"2200 Hamilton Dr Unit 602, Ames, IA 50014 2200 Hamilton Dr Unit 602 Ames IA 50014",2bath,2bed,No Value,"1,020sqft",No Value,No Value,"$275,000",
60,"2426 Welbeck Dr, Ames, IA 50010 2426 Welbeck Dr Ames IA 50010",2.5bath,5bed,No Value,"2,318sqft",No Value,No Value,"$320,000",House for Sale
61,"2130 McCarthy Rd, Ames, IA 50014 2130 McCarthy Rd Ames IA 50014",3bath,3bed,No Value,"2,305sqft",No Value,No Value,"$295,000",House for Sale
62,"5612 Allerton Dr, Ames, IA 50014 5612 Allerton Dr Ames IA 50014",3bath,5bed,No Value,"1,518sqft",No Value,No Value,"$365,000",House for Sale
63,"4503 Twain Cir Unit 104, Ames, IA 50014 4503 Twain Cir Unit 104 Ames IA 50014",1bath,1bed,No Value,662sqft,No Value,No Value,"$115,000",
64,"4321 Aldrin Ave, Ames, IA 50014 4321 Aldrin Ave Ames IA 50014",3bath,4bed,No Value,"1,575sqft",No Value,0.27acres lot,"$427,750",House for Sale
65,"5401 Westfield Dr, Ames, IA 50014 5401 Westfield Dr Ames IA 50014",3bath,4bed,No Value,"1,426sqft",No Value,0.26acres lot,"$311,000",House for Sale
66,"5557 Harvest Rd, Ames, IA 50014 5557 Harvest Rd Ames IA 50014",3.5bath,5bed,No Value,"1,922sqft",No Value,1acres lot,"$547,000",House for Sale
67,"3827 Minnetonka Ave, Ames, IA 50010 3827 Minnetonka Ave Ames IA 50010",2bath,3bed,No Value,816sqft,No Value,No Value,"$170,000",House for Sale
68,"5023 Kansas Dr, Ames, IA 50014 5023 Kansas Dr Ames IA 50014",2.5+bath,3bed,No Value,"1,540sqft",No Value,"9,148sqft lot","$222,500",House for Sale
69,"3023 Cedar Ln, Ames, IA 50014 3023 Cedar Ln Ames IA 50014",2.5bath,3bed,No Value,"1,442sqft",No Value,0.23acres lot,"$250,000",House for Sale
70,"1402 Wheeler St, Ames, IA 50010 1402 Wheeler St Ames IA 50010",1.5bath,3bed,No Value,864sqft,No Value,"7,200sqft lot","$182,000",House for Sale
71,"5423 Norris St, Ames, IA 50014 5423 Norris St Ames IA 50014",2bath,4bed,No Value,990sqft,No Value,No Value,"$179,000",House for Sale
